ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
460108,Male,Yes,42,Yes,Artist,1.0,Average,3.0,Cat_2,C
459869,Female,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D
460192,Male,Yes,41,Yes,,0.0,Low,2.0,Cat_7,D
463582,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
467114,Male,Yes,59,Yes,Marketing,0.0,Average,3.0,Cat_6,B
461775,Female,Yes,83,No,Lawyer,0.0,High,2.0,Cat_6,B
463160,Female,No,48,No,Entertainment,,Low,1.0,Cat_6,B
463699,Female,Yes,41,Yes,Marketing,9.0,Low,3.0,Cat_6,B
467427,Female,Yes,37,Yes,Artist,8.0,High,2.0,Cat_6,C
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
463219,Male,Yes,50,No,Entertainment,0.0,Low,2.0,Cat_6,D
464763,Female,Yes,49,No,Engineer,,Average,4.0,Cat_4,B
464902,Female,Yes,68,No,Lawyer,0.0,Low,1.0,Cat_4,D
460508,Male,Yes,27,Yes,Healthcare,2.0,High,3.0,Cat_3,D
467117,Male,No,48,Yes,Artist,0.0,Low,1.0,Cat_6,A
463745,Male,Yes,62,Yes,Artist,1.0,Average,3.0,Cat_3,A
464545,Male,No,43,Yes,Artist,7.0,Low,3.0,Cat_6,A
464103,Male,Yes,47,Yes,Artist,3.0,Average,2.0,Cat_6,B
463588,Male,No,19,No,Healthcare,1.0,Low,1.0,Cat_6,D
465386,Male,No,36,Yes,Artist,0.0,Low,2.0,Cat_2,C
459725,Female,Yes,35,Yes,Artist,1.0,Low,2.0,Cat_6,B
461448,Male,Yes,69,Yes,Doctor,0.0,High,3.0,Cat_6,C
463106,Female,Yes,84,Yes,Lawyer,0.0,Low,1.0,Cat_6,B
461800,Female,No,36,Yes,Doctor,4.0,Low,1.0,Cat_2,B
460615,Female,No,25,Yes,Healthcare,,Low,,Cat_3,C
465028,Female,Yes,68,Yes,Lawyer,3.0,High,4.0,Cat_6,C
462326,Female,Yes,42,Yes,Artist,4.0,Average,2.0,Cat_6,C
464965,Male,Yes,76,No,Executive,,Low,7.0,Cat_4,D
463622,Male,No,27,Yes,Healthcare,8.0,Low,1.0,Cat_3,C
466154,Female,Yes,45,Yes,Artist,1.0,Average,5.0,Cat_3,B
465512,Male,Yes,38,Yes,Entertainment,,Average,4.0,Cat_3,D
467318,Male,Yes,41,Yes,Doctor,,Low,2.0,Cat_6,C
465484,Female,Yes,57,Yes,Artist,0.0,Low,2.0,Cat_6,B
462151,Female,No,35,Yes,Artist,8.0,Low,1.0,Cat_6,B
462900,Male,Yes,39,Yes,Artist,0.0,Average,3.0,Cat_6,B
461323,Female,Yes,41,Yes,Healthcare,6.0,Average,2.0,Cat_6,C
465899,Female,No,38,Yes,Doctor,9.0,Low,2.0,Cat_6,B
466489,Male,Yes,55,Yes,Homemaker,1.0,Average,4.0,Cat_6,C
465472,Female,Yes,87,No,Entertainment,,High,3.0,Cat_6,A
466548,Female,Yes,45,Yes,Artist,1.0,Average,2.0,Cat_6,B
464352,Male,Yes,58,Yes,Doctor,0.0,Average,2.0,Cat_6,C
463093,Female,Yes,31,No,Healthcare,,Low,4.0,Cat_2,C
462109,Male,Yes,75,No,Lawyer,0.0,Low,1.0,Cat_6,D
463012,Male,Yes,47,No,Engineer,,Low,1.0,Cat_6,D
463048,Female,Yes,47,Yes,Homemaker,,High,5.0,Cat_6,A
461816,Female,No,49,Yes,Marketing,0.0,Low,5.0,Cat_6,A
461786,Male,Yes,71,Yes,Lawyer,0.0,High,2.0,Cat_6,C
465779,Female,No,19,No,Healthcare,0.0,Low,5.0,Cat_2,D
463128,Male,Yes,73,Yes,Lawyer,0.0,High,4.0,Cat_6,A
463297,Male,No,27,Yes,Healthcare,4.0,Low,2.0,Cat_6,D
460531,Female,No,35,No,,0.0,Low,5.0,Cat_6,C
467245,Female,No,38,No,Doctor,0.0,Low,1.0,Cat_6,C
460001,Male,Yes,41,Yes,Artist,4.0,Average,2.0,Cat_2,A
466043,Female,Yes,46,Yes,Artist,1.0,Average,4.0,Cat_6,B
459017,Male,Yes,50,Yes,Executive,,High,6.0,Cat_6,C
461548,Female,No,33,Yes,Engineer,1.0,Low,3.0,Cat_6,A
461061,Female,No,38,Yes,Engineer,3.0,Low,1.0,Cat_2,B
463032,Female,Yes,78,No,Lawyer,0.0,High,2.0,Cat_6,A
461690,Female,No,31,Yes,Engineer,0.0,Low,1.0,Cat_4,A
463169,Female,Yes,85,Yes,Lawyer,0.0,Low,1.0,Cat_3,D
462627,Male,Yes,27,No,Entertainment,,Average,3.0,Cat_4,D
461862,Female,No,42,Yes,Artist,9.0,Low,1.0,Cat_6,C
461614,Female,No,25,,Healthcare,1.0,Low,1.0,Cat_4,C
467220,Female,No,36,No,,,Low,,Cat_4,D
465266,Male,Yes,49,Yes,Entertainment,0.0,Average,5.0,Cat_4,B
461353,Male,Yes,50,Yes,Executive,0.0,High,4.0,Cat_6,A
458996,Female,Yes,71,No,,1.0,Low,1.0,Cat_6,A
461604,Male,Yes,38,No,Entertainment,1.0,Average,2.0,Cat_6,B
465053,Male,Yes,82,Yes,Executive,0.0,High,2.0,Cat_6,C
465447,Male,Yes,52,Yes,Engineer,1.0,Average,3.0,Cat_4,C
463761,Male,Yes,33,Yes,Artist,1.0,Average,3.0,Cat_6,A
463677,Male,Yes,42,No,Executive,1.0,High,5.0,Cat_6,C
464725,Male,Yes,45,No,Executive,11.0,High,9.0,Cat_4,A
464057,Male,No,32,Yes,Marketing,0.0,Low,5.0,Cat_6,B
462121,Female,No,60,Yes,Artist,1.0,Low,3.0,Cat_6,C
461222,Female,No,48,Yes,Artist,1.0,Low,1.0,Cat_7,D
461872,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,B
467413,Female,Yes,75,Yes,Lawyer,2.0,High,4.0,Cat_6,B
465137,Male,Yes,57,Yes,Artist,1.0,Average,4.0,Cat_6,C
467627,Female,No,45,Yes,Engineer,0.0,Low,1.0,Cat_6,A
465884,Male,Yes,37,Yes,Executive,6.0,High,3.0,Cat_6,D
467831,Male,Yes,39,Yes,Artist,0.0,Average,2.0,Cat_6,C
466883,Female,Yes,37,Yes,Artist,2.0,Average,2.0,Cat_6,B
462815,Male,Yes,84,No,Lawyer,1.0,Low,1.0,Cat_6,A
461969,Female,Yes,46,No,Engineer,9.0,Average,1.0,Cat_4,A
459727,Male,Yes,83,No,Lawyer,,High,2.0,Cat_6,B
466029,Female,No,28,No,Executive,0.0,Low,1.0,Cat_2,A
464215,Male,No,72,No,Marketing,1.0,Low,2.0,Cat_6,D
466987,Male,Yes,63,No,Artist,5.0,Average,2.0,Cat_6,C
460324,Female,No,33,Yes,Entertainment,12.0,Low,2.0,Cat_6,A
462588,Male,Yes,41,No,Entertainment,12.0,Average,3.0,Cat_4,A
459309,Female,Yes,41,Yes,Artist,9.0,High,2.0,Cat_2,B
459481,Male,Yes,47,No,Lawyer,0.0,Low,2.0,Cat_6,A
460130,Male,No,27,Yes,Healthcare,2.0,Low,4.0,Cat_1,A
459714,Male,No,22,No,Doctor,2.0,Low,4.0,Cat_6,C
467899,Male,Yes,66,Yes,Artist,1.0,Average,2.0,Cat_6,B
461737,Female,Yes,48,Yes,Doctor,1.0,Average,6.0,Cat_4,B
459703,Male,Yes,37,Yes,Artist,0.0,Low,3.0,Cat_6,A
466013,Male,No,22,No,Healthcare,2.0,Low,3.0,Cat_4,D
460174,Female,No,43,Yes,Artist,8.0,Low,4.0,Cat_6,C
461203,Female,Yes,26,No,Lawyer,0.0,Low,9.0,Cat_7,C
